"ring","year","site","sex","Difsite","survival","site_recode","Lrecapture","time_SLC"
"Z632398",2019,"LVN","F",0,1,"LVN",0,1
"Z632398",2020,"LVN","F",0,0,"LVN",0,1
"Z632399",2016,"BAD","F",0,0,"BAD",0,0
"Z632400",2015,"AVN","M",0,0,"AVN",0,0
"Z632401",2015,"MCH","M",0,0,"MCH",0,0
"Z632409",2015,"FOF","F",0,0,"FOF",0,0
"Z632410",2015,"FOF","M",0,1,"FOF",0,0
"Z632410",2016,"FOF","M",0,0,"FOF",0,1
"Z632422",2015,"PTH","M",0,0,"PTH",0,0
"Z632430",2015,"DLW","F",0,0,"DLW",0,0
"Z632431",2015,"DLW","M",0,0,"DLW",0,0
"Z632432",2015,"BLG","M",0,1,"BLG",0,0
"Z632432",2016,"BLG","M",0,1,"BLG",0,1
"Z632432",2017,"BLG","M",0,1,"BLG",0,1
"Z632432",2018,"BLG","M",0,0,"BLG",0,1
"Z632433",2015,"STY","M",0,1,"STY",0,0
"Z632433",2016,"STY","M",0,1,"STY",0,1
"Z632433",2017,"STY","M",0,0,"STY",0,1
"Z632434",2015,"STY","F",0,1,"STY",0,0
"Z632434",2016,"STY","F",0,0,"STY",0,1
"Z632446",2015,"EDI","F",0,1,"EDI",0,0
"Z632446",2016,"EDI","F",0,1,"EDI",0,1
"Z632446",2017,"EDI","F",0,1,"EDI",0,1
"Z632446",2018,"EDI","F",0,1,"EDI",0,1
"Z632446",2019,"EDI","F",0,0,"EDI",0,1
"Z632447",2015,"EDI","M",0,1,"EDI",0,0
"Z632447",2016,"EDI","M",0,1,"EDI",0,1
"Z632447",2017,"EDI","M",0,1,"EDI",0,1
"Z632447",2018,"EDI","M",0,1,"EDI",0,1
"Z632447",2019,"EDI","M",0,0,"EDI",0,1
"Z632448",2015,"EDI","F",0,0,"EDI",0,0
"Z632449",2015,"RSY","F",0,1,"RSY",0,0
"Z632449",2016,"RSY","F",0,0,"RSY",0,1
"Z632450",2015,"RSY","M",0,0,"RSY",0,0
"Z632451",2015,"FOF","F",0,0,"FOF",0,0
"Z632452",2015,"FOF","F",0,0,"FOF",0,0
"Z632461",2015,"LVN","M",0,0,"LVN",0,0
"Z632462",2015,"BLG","M",0,0,"BLG",0,0
"Z632463",2015,"BLG","F",0,1,"BLG",0,0
