"site"	"year"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"BLG"	"2017"	"3.40942858972049"	"4.25194827867704"	"3.54223129663643"	"3.96187184409974"	"3.40733509449555"	"4.06035108521189"	"3.4629597275359"	"3.1576691215663"	"3.24640129798139"	"4.27405094861142"	"2.67058883869984"	"2.75688017475504"
"PIT"	"2017"	"3.76814542042986"	"4.65844822578637"	"3.86889434732703"	"4.25596028951393"	"3.64115665097635"	"4.36380244826118"	"3.70247412608071"	"3.39165574001506"	"3.53193524103214"	"4.70393289789539"	"2.93175779639768"	"3.05150744613652"
"KCK"	"2017"	"2.79565586299467"	"3.62708196311232"	"2.97314615656213"	"3.40217770840645"	"3.07159603527446"	"3.54106773507244"	"3.10980075766061"	"2.70190041902548"	"2.79429951405835"	"3.56053347799861"	"2.11459953459263"	"2.17889013424434"
"KCZ"	"2017"	"2.79565586299467"	"3.62708196311232"	"2.97314615656213"	"3.40217770840645"	"3.07159603527446"	"3.54106773507244"	"3.10980075766061"	"2.70190041902548"	"2.79429951405835"	"3.56053347799861"	"2.11459953459263"	"2.17889013424434"
"BLA"	"2017"	"2.69596042286554"	"3.57819315829915"	"2.90398265039367"	"3.30722125062855"	"3.01604741679258"	"3.40811088416066"	"3.08160721071568"	"2.59047939487478"	"2.6683488448945"	"3.47739892235485"	"2.18411785294145"	"2.22232752831675"
"CAL"	"2017"	"3.39125219372997"	"4.21113418175552"	"3.50758892408802"	"4.05492212633491"	"3.38642219094268"	"3.88139518827936"	"3.67995879472455"	"3.17685569254655"	"3.09490730198146"	"4.3605089601596"	"3.32613444581973"	"3.43681996897495"
"DNM"	"2017"	"3.00077512088888"	"3.7779955806838"	"3.0736324910664"	"3.53922665695566"	"3.15080924204538"	"3.49436320988552"	"3.35679057814783"	"2.88118019157844"	"2.92529099071359"	"3.78395652630661"	"2.70499810731431"	"2.83334382095059"
"DNC"	"2017"	"3.7717274957457"	"4.58742096839182"	"3.6946698256692"	"4.18278090219469"	"3.66801158614766"	"4.03532627985882"	"3.84599389092102"	"3.35320255591781"	"3.55430885531237"	"4.65990217492453"	"3.51567968982844"	"3.625156769207"
"DNS"	"2017"	"5.06231912439572"	"5.66611426893427"	"4.65232589365334"	"5.4850310458319"	"4.419061193112"	"4.91233056384625"	"4.62830535154434"	"4.19839614982679"	"4.62028762671361"	"6.017450313845"	"5.02324964879997"	"4.81601522074434"
"DLW"	"2017"	"3.91785824644482"	"4.46385119981195"	"3.55260724789906"	"4.23448472961856"	"3.3308101419094"	"3.63128725736221"	"3.51990460752385"	"2.98061959897951"	"3.63624718706817"	"4.41895718256591"	"3.65509935182013"	"3.11717424658961"
"CRU"	"2017"	"3.95042507317321"	"4.72109633871648"	"4.00872058215736"	"4.49604846359597"	"3.62098261569269"	"4.16203339695119"	"3.79066429852211"	"3.10459120832765"	"3.23309134014228"	"4.92629645850853"	"4.1395755117241"	"3.94167265932235"
"NEW"	"2017"	"3.03586342361804"	"3.73480530042151"	"3.17169750617902"	"3.37286989788052"	"2.89193331788418"	"3.42358025981167"	"3.0403167271363"	"2.50523652794982"	"2.57821273143135"	"3.85674683679896"	"3.01648804066097"	"3.3291913647346"
